# Colloquial Sinhala spellings and chat mappings that CLDR misses or ranks poorly.
# Format: token<TAB>emoji  (overlay prepends; first rows win within a token)
හරි	👍
හරි	👌
ඔව්	👍
ඔව්	👌
හොඳයි	👍
හොඳයි	👌
නැහැ	👎
නෑ	👎
නැත	👎
ස්තූතියි	🙏
ස්තුතියි	🙏
තැන්ක්ස්	🙏
සොරි	😔
සමාවෙන්න	😔
හිනා	😊
හිනා	😂
හාහා	😂
හාහා	😆
ලොල්	😂
සිනහව	😊
සිනා	😊
සතුටු	😄
සතුට	😄
ආදරෙයි	❤️
ආදරෙයි	😍
ආදරයි	❤️
ආදරයි	😍
ආදරය	❤️
ආදරය	😍
ලව්	❤️
කිස්	😘
හාදුව	😘
හාදු	😘
ඇඬුම්	😢
අඬනවා	😢
කඳුළු	😢
කේන්තිය	😠
තරහ	😠
ගිනි	🔥
ගඟුල්	🔥
පාටි	🎉
සතුටුවෙන්	🥳
උපන්දින	🎂
නිදහස්	🥳
ශ්‍රීලංකා	🇱🇰
ලංකා	🇱🇰
ශ්‍රී	🇱🇰
කොළඹ	🇱🇰
යාලු	🤝
යාළු	🤝
මිතුරා	🤝
ආයුබෝවන්	👋
ආයුබෝවන්	🙏
බායි	👋
ගුඩ්නයිට්	🌙
රෑට	🌙
කෑම	🍽️
තේ	☕
කෝපි	☕
වැස්ස	🌧️
හිරු	☀️
තරුව	⭐
ජය	🏆
ජයග්‍රහණය	🏆
ශක්තිය	💪
හොඳයිද	👍
හරිද	👍
ඔන්න	👉
බලන්න	👀
හොඳ	👍
සුපිරි	🔥
සුපිරි	😎
වැදගත්	❗
කමෙන්ට්	💬
හදවත	❤️
හදවත්	❤️
ප්‍රේමය	❤️
මමත්	❤️
ඔයාට	❤️
බය	😨
භය	😨
නින්ද	😴
නිදාගන්න	😴
හොරා	🤫
රහස	🤫
ඔක්	👍
ඕකේ	👍
ඕකෙ	👍
යෙස්	👍
නෝ	👎
ප්ලීස්	🙏
ප්ලීස්	🥺
කරුණාකර	🙏
ස්වාගතයි	🤗
සාදරයෙන්	🤗
සුබ	✨
සුබපැතුම්	🎉
සුභපැතුම්	🎉
නවවසර	🎆
නත්තල්	🎄
වෙසක්	🪔
පොසොන්	🪔
