අ	සෘණ	ආ	59
අ	සෘණ	ධනාත්මක	541
අ	සෘණ	බී	1099
අගෝස්තු	වන	අඟහරුවාදා	13
අගෝස්තු	වන	දා	14
අගෝස්තු	වන	දින	1676
අගෝස්තු	වන	දිනට	6
අගෝස්තු	වන	දිනදී	6
අගෝස්තු	වන	විට	107
අඩුවෙන්	කෙටි	කතාවක්	1
අඩුවෙන්	කෙටි	කරන්න	2
අඩුවෙන්	කෙටි	කිරීමෙන්	1
අඩුවෙන්	කෙටි	සාරාංශයක්	7549
අතර	එහිදී	ඇය	509
අතර	එහිදී	එය	136
අතර	එහිදී	ඔවුන්	548
අතර	එහිදී	ඔහු	1718
අතර	එහිදී	ඔහුගේ	158
අතර	එහිදී	ඔහුට	197
අතර	බොහෝ	අය	127
අතර	බොහෝ	දුරට	308
අතර	බොහෝ	දෙනා	88
අතර	බොහෝ	දෙනෙක්	275
අතර	බොහෝ	දෙනෙකුට	108
අතර	බොහෝ	විට	1257
අත්අඩංගුවට	ගෙන	ඇත	1244
අත්අඩංගුවට	ගෙන	ඇත්තේ	71
අත්අඩංගුවට	ගෙන	ඇති	695
අත්අඩංගුවට	ගෙන	තිබේ	241
අත්අඩංගුවට	ගෙන	නොමැත	78
අත්අඩංගුවට	ගෙන	නොමැති	78
අත්පත්	කර	ගත්	361
අත්පත්	කර	ගැනීම	1134
අත්පත්	කර	ගැනීමට	781
අත්පත්	කර	ගැනීම්	471
අත්පත්	කර	ගැනීමෙන්	324
අත්පත්	කර	ගැනීමේ	652
අදහස්	කරන්නේ	එය	324
අදහස්	කරන්නේ	ඔවුන්	552
අදහස්	කරන්නේ	ඔහු	368
අදහස්	කරන්නේ	කුමක්ද	1230
අදහස්	කරන්නේ	නම්	385
අදහස්	කරන්නේ	මිනිසෙක්	466
අදාළ	වාක්යය	එය	2
අදාළ	වාක්යය	නම්	8
අදාළ	වාක්යය	මෙයයි	6
අදාළ	වාක්යය	යනු	1
අදාළ	වාක්යය	වන්නේ	420
අදාළ	වාක්යය	වනුයේ	1310
අධ්යක්ෂණය	කරන	ලද	1289
අධ්යක්ෂණය	කරන	ලද්දකි	3
